Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C17, C2, C3, C4, C9",0402,8,100nF,C307331
C11,0402,1,1u,
"C13, C15, C16, C8",0402,4,100n,C307331
C14,0402,1,220pF NP0,C1530
C5,0603,1,10uF,
"C6, C7",0402,2,1uF,C52923
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,11,SK6812MINI,
F1,1206,1,ASMD1206-150,C135341
"H1, H10, H11, H12, H13, H14, H15, H16, H17, H18, H19, H2, H20, H21, H22, H23, H24, H25, H26, H27, H28, H29, H3, H30, H31, H32, H33, H34, H4, H5, H6, H7, H8, H9",MountingHole_2.2mm_M2_DIN965,34,M2 Hole,
J1,USB4510031A,1,USB_C sink board 1.3mm,C3019717
J101,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,
JP2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_3_Open,
L1,1206,1,60R@100MHz,C33600
"R1, R2",0402,2,5.1k,
"R10, R11, R12, R13, R14, R16, R17, R6, R7, R8, R9",0402,11,100k,C25741
R15,0402,1,1k,C11702
R3,0402,1,10k,
"R4, R5",0402,2,4.7k,
"SW32, SW33, SW39, SW40, SW42, SW43",ec_pad_1U_90deg,6,EC_SW,
SW35,MX-Solderable-1U,1,SW_Push,
SW37,SW_SPST_SKQG_WithoutStem,1,SKQGABE010,C115351
U1,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
U3,SOT-143,1,PRTR5V0U2X,C2827688
"U4, U6",TSSOP-16_4.4x5mm_P0.65mm,2,74HC4051,C5645
U5,SOT-23-5,1,OPA354AIDBVR ,
